paper_id,qp_code,exam_year,q_no,part,section,question,marks,question_type,choice_status,choice_pair_id,chapter,sub_code,skill_observed,cross_chapter,category,category_source,in_syllabus_current,notes,concept_family,discipline,sitting_source
2023-086-31/2/1,31/2/1,2023,21,a,B,What is observed when aqueous solutions of potassium iodide and lead nitrate are mixed together ? Name the type of reaction and write the chemical equation for the reaction that occurs.,2,VSA,choice-A,Q21,Chemical Reactions and Equations,X.SCI,"Predicted the precipitate, classified the reaction type and wrote the balanced equation",no,Applying,"inferred (Claude), two-pass agreed",yes,-,Displacement and double displacement reactions,chemistry,inferred_series_footprint
2023-086-31/2/1,31/2/1,2023,21,b,B,"When copper powder is heated in a watch glass, a black substance is formed. (i) Why is this black substance formed ? Name it. (ii) How can this black substance be reversed to its original form ?",2,VSA,choice-B,Q21,Chemical Reactions and Equations,X.SCI,Explained the formation of a black oxide layer and stated how to reverse it by reduction,no,Applying,"inferred (Claude), two-pass agreed",yes,-,Oxidation and reduction,chemistry,inferred_series_footprint
2023-086-31/2/1,31/2/1,2023,22,-,B,(a) Why is it important to prevent oxygenated and deoxygenated blood from mixing in birds and mammals ? (b) Which animals can tolerate some mixing of the oxygenated and deoxygenated blood streams ? On what factor does the body temperature of these animals depend ?,2,VSA,compulsory,-,Life Processes,X.SCI,Justified the need for a double circulation in terms of energy demand,no,R&U,"inferred (Claude), verb-rule re-tier",yes,"Sub-parts (a) and (b) carry no separate marks and are marked as one 2-mark whole. VERB-RULE RE-TIER (AEC -> R&U): the answer is stated in the textbook - Ch 5 gives the energy/temperature reason directly and poses this as in-text question 2 of the same section. The verb 'why' was carrying the AEC tag, not the demand.",Human circulatory system and blood,biology,inferred_series_footprint
2023-086-31/2/1,31/2/1,2023,23,-,B,Mendel crossed a pure tall pea plant (TT) with a pure short pea plant (tt) and obtained all tall plants in F1 generation. (a) What is the gene combination present in the plants of F1 generation ? (b) Give reason why only tall plants are observed in F1 progeny. (c) What will be the ratio of the plants obtained in the F2 generation when F1 plants are self-pollinated ?,2,VSA,compulsory,-,Heredity,X.SCI,Worked a monohybrid cross to F2 and explained dominance in the F1,no,Applying,"inferred (Claude), two-pass agreed",yes,"Sub-parts (a), (b) and (c) carry no separate marks and are marked as one 2-mark whole.",Inherited traits and Mendel's experiments,biology,inferred_series_footprint
2023-086-31/2/1,31/2/1,2023,24,a,B,When and where does a rainbow appear in the sky ? Draw a labelled ray diagram to show its formation.,2,VSA,choice-A,Q24,The Human Eye and the Colourful World,X.SCI,Stated the conditions for a rainbow and reproduced the standard formation diagram,no,R&U,"inferred (Claude), two-pass agreed",yes,-,Refraction through a prism and dispersion of white light,physics,inferred_series_footprint
2023-086-31/2/1,31/2/1,2023,24,b,B,What is scattering of light ? Why does the clear sky appear blue ?,2,VSA,choice-B,Q24,The Human Eye and the Colourful World,X.SCI,Defined scattering and gave the standard explanation for the blue sky,no,R&U,"inferred (Claude), two-pass agreed",yes,-,Scattering of light: Tyndall effect and sky colour,physics,inferred_series_footprint
2023-086-31/2/1,31/2/1,2023,25,-,B,"V - I graph for two conducting wires A and B are as shown. If both wires are of the same length and same diameter, which of the two is made of a material of high resistivity ? Give reasons to justify your answer.",2,VSA,compulsory,-,Electricity,X.SCI,Compared slopes on a V-I graph and justified which material has higher resistivity,no,AEC,"inferred (Claude), two-pass agreed",yes,Question carries a figure (V-I graph with two straight lines labelled A and B).,"Resistance, resistivity and factors affecting resistance",physics,inferred_series_footprint
2023-086-31/2/1,31/2/1,2023,26,-,B,We do not clean ponds or lakes but an aquarium needs to be cleaned regularly. Why ?,2,VSA,compulsory,-,Our Environment,X.SCI,Contrasted a natural and an artificial ecosystem to explain self-cleaning,no,AEC,"inferred (Claude), two-pass agreed",yes,-,Ecosystem and its components,biology,inferred_series_footprint
2023-086-31/2/1,31/2/1,2023,27,-,C,Silver chloride kept in a china dish turns grey in sunlight. (a) Write the colour of silver chloride when it was kept in the china dish. (b) Name the type of chemical reaction taking place and write the chemical equation for the reaction. (c) State one use of the reaction. Name one more chemical which can be used for the same purpose.,3,SA,compulsory,-,Chemical Reactions and Equations,X.SCI,"Identified a photolytic decomposition, wrote its equation and named an application",no,Applying,"inferred (Claude), two-pass agreed",yes,"Sub-parts (a), (b) and (c) carry no separate marks and are marked as one 3-mark whole.",Combination and decomposition reactions,chemistry,inferred_series_footprint
2023-086-31/2/1,31/2/1,2023,28,-,C,"With the help of suitable chemical equations, list the two main differences between roasting and calcination. How is metal reduced from the product obtained after roasting/calcination of the ore ? Write the chemical equation for the reaction involved.",3,SA,compulsory,-,Metals and Non-metals,X.SCI,Reproduced the roasting/calcination distinction with equations and the reduction step,no,R&U,"inferred (Claude), two-pass agreed",yes,-,"Occurrence of metals, extraction from ores and refining",chemistry,inferred_series_footprint
2023-086-31/2/1,31/2/1,2023,29,a,C,"(i) What is the first step in the breakdown of glucose during aerobic and anaerobic respiration ? Where does it take place ? (ii) ATP is called the energy currency of the cell. Why ? (iii) What is meant by ""residual volume of air"" in a breathing cycle ?",3,SA,choice-A,Q29,Life Processes,X.SCI,"Recalled the first step of glucose breakdown, the role of ATP and a breathing-cycle term",no,R&U,"inferred (Claude), two-pass agreed",yes,-,"Respiration: aerobic, anaerobic and the human respiratory system",biology,inferred_series_footprint
2023-086-31/2/1,31/2/1,2023,29,b,C,"Write in sequence the steps for experimental verification of the fact that ""sunlight is essential for photosynthesis"".",3,SA,choice-B,Q29,Life Processes,X.SCI,Reproduced the sequence of a known textbook experiment,no,R&U,"inferred (Claude), two-pass agreed",yes,-,Photosynthesis and autotrophic nutrition,biology,inferred_series_footprint
2023-086-31/2/1,31/2/1,2023,30,-,C,Name the hormone released and the gland which secretes it in human beings during scary situations. How does the body respond to enable it to deal with the situation ?,3,SA,compulsory,-,Control and Coordination,X.SCI,Named a hormone and its gland and described the physiological response it triggers,no,R&U,"inferred (Claude), two-pass agreed",yes,-,Hormones in animals and endocrine glands,biology,inferred_series_footprint
2023-086-31/2/1,31/2/1,2023,31,a,C,"A student has focussed the image of an object of height 3 cm on a white screen using a concave mirror of focal length 12 cm. If the distance of the object from the mirror is 18 cm, find the values of the following : (i) Distance of the image from the mirror (ii) Height of the image",3,SA,choice-A,Q31,Light – Reflection and Refraction,X.SCI,Substituted into the mirror formula and the magnification relation to find image distance and height,no,Applying,"inferred (Claude), two-pass agreed",yes,-,"Mirror formula, magnification and sign convention",physics,inferred_series_footprint
2023-086-31/2/1,31/2/1,2023,31,b,C,"Define power of a lens. The focal length of a lens is - 10 cm. Write the nature of the lens and find its power. If an object is placed at a distance of 20 cm from the optical centre of this lens, according to the New Cartesian Sign Convention, what will be the sign of magnification in this case ?",3,SA,choice-B,Q31,Light – Reflection and Refraction,X.SCI,Computed lens power from focal length and deduced the sign of magnification,no,Applying,"inferred (Claude), two-pass agreed",yes,-,"Lens formula, magnification and power of a lens",physics,inferred_series_footprint
2023-086-31/2/1,31/2/1,2023,32,-,C,Explain the meaning of overloading of an electrical circuit. List two possible causes due to which overloading may occur in household circuits. Write one preventive measure that should be taken to avoid overloading of domestic circuits.,3,SA,compulsory,-,Magnetic Effects of Electric Current,X.SCI,Defined overloading and recalled its causes and a preventive measure,no,R&U,"inferred (Claude), two-pass agreed",yes,-,Domestic electric circuits and electrical safety,physics,inferred_series_footprint
2023-086-31/2/1,31/2/1,2023,33,-,C,Explain how some harmful chemicals enter our bodies through the food chain. Why is the concentration of these harmful chemicals found to be maximum in human beings ?,3,SA,compulsory,-,Our Environment,X.SCI,Explained biological magnification along trophic levels and why the top level is worst affected,no,R&U,"inferred (Claude), verb-rule re-tier",yes,"VERB-RULE RE-TIER (AEC -> R&U): Ch 13 names biological magnification and states that humans, occupying the top trophic level, accumulate the maximum concentration. Both halves of the question are reproducible from the text.","Food chains, food webs and trophic levels",biology,inferred_series_footprint
2023-086-31/2/1,31/2/1,2023,34,a,D,"An acid 'X' and an alcohol 'Y' react with each other in the presence of an acid catalyst to form a sweet smelling substance 'Z'. Identify 'X', 'Y' and 'Z'. Write the chemical equation for the reaction involved and name it. The substance 'Z' on treatment with sodium hydroxide produces back the alcohol 'Y' and sodium ethanoate. Write the chemical equation for the reaction involved and name it, giving justification for the name.",5,LA,choice-A,Q34,Carbon and its Compounds,X.SCI,Identified three unknown organic compounds from reaction behaviour and justified the name of a reaction,no,AEC,"inferred (Claude), two-pass agreed",yes,-,Ethanol and ethanoic acid,chemistry,inferred_series_footprint
2023-086-31/2/1,31/2/1,2023,34,b,D,"(i) Name the simplest saturated hydrocarbon. Draw its electron dot structure. Which type of bonds exist in this compound ? (ii) Name any two mixtures of the carbon compound used as a fuel in daily life, of which the above mentioned compound is an important component. (iii) In which homologous series of carbon compounds can this compound be placed ? Write the general formula of the series. (iv) Which type of flame is produced on burning it ?",5,LA,choice-B,Q34,Carbon and its Compounds,X.SCI,"Recalled the structure, bonding, series and burning behaviour of the simplest alkane",no,R&U,"inferred (Claude), two-pass agreed",yes,"FAMILY JUDGMENT CALL: the four sub-parts span covalent bonding (i), homologous series (iii) and combustion (iv). Assigned to the saturated-compounds family because methane as the simplest saturated hydrocarbon is the spine of the question.","Saturated and unsaturated carbon compounds, chains, branches and rings",chemistry,inferred_series_footprint
2023-086-31/2/1,31/2/1,2023,35,a,D,(i) List three points of difference between nervous and hormonal mechanisms for control and coordination in animals. (ii) How are auxins related with the bending of plant shoot towards unidirectional light ? Explain.,5,LA,choice-A,Q35,Control and Coordination,X.SCI,Contrasted nervous and hormonal control and explained auxin-driven phototropism,no,R&U,"inferred (Claude), two-pass agreed",yes,FAMILY JUDGMENT CALL: sub-part (ii) belongs to 'Coordination in plants: tropisms and plant hormones' while sub-part (i) is the nervous/hormonal comparison. Assigned to the animal-hormone family as the larger share of the question; flagged for review.,Hormones in animals and endocrine glands,biology,inferred_series_footprint
2023-086-31/2/1,31/2/1,2023,35,b,D,(i) Name the disorder which a person is likely to suffer from due to the following : (I) Over-secretion of growth hormone (II) Deficiency of oestrogen in females (III) Less secretion of thyroxine. Also name the gland that secretes each of the hormones mentioned above. (ii) How is the timing and amount of hormone released regulated ? Explain with the help of an example.,5,LA,choice-B,Q35,Control and Coordination,X.SCI,Matched hormone disorders to glands and described feedback regulation of secretion,no,R&U,"inferred (Claude), two-pass agreed",yes,-,Hormones in animals and endocrine glands,biology,inferred_series_footprint
2023-086-31/2/1,31/2/1,2023,36,-,D,"(a) An object is placed in front of a convex lens of focal length f. If the distance of the object from the lens is 2f, draw a ray diagram to show the formation of the image. Write the value of magnification in this case. (b) A student has focussed the image of a candle flame on a white screen using a convex lens. The situation is as given below : Length of the flame = 2 cm, Focal length of the lens = 12 cm, Distance of the flame from the lens = 16 cm. If the flame is perpendicular to the principal axis of the lens, calculate the values of the following : (i) Distance of the image from the lens (ii) Length of the image formed",5,LA,compulsory,-,Light – Reflection and Refraction,X.SCI,Drew the 2f ray diagram and substituted into the lens formula to find image distance and size,no,Applying,"inferred (Claude), two-pass agreed",yes,Sub-parts (a) and (b) carry no separate marks and are marked as one 5-mark whole; there is no OR between them. FAMILY JUDGMENT CALL: sub-part (a) is a ray-diagram item and belongs to 'Spherical lenses: ray diagrams and image characteristics'; assigned to the lens-formula family because the numerical (b) carries the larger share.,"Lens formula, magnification and power of a lens",physics,inferred_series_footprint
2023-086-31/2/1,31/2/1,2023,37,a,E,"The teacher while conducting practicals in the laboratory divided the students into three groups and gave them various solutions to find out their pH and classify them into acidic, basic and neutral solutions. Group A - Lemon juice, vinegar, colourless aerated drink. Group B - Tomato juice, coffee, ginger juice. Group C - Sodium hydroxide, sodium chloride, lime water. (a) For the solutions provided, which group is/are likely to have pH value (i) less than 7, and (ii) greater than 7 ?",1,Case-study,compulsory,-,"Acids, Bases and Salts",X.SCI,Classified named household solutions as acidic or basic on the pH scale,no,Applying,"inferred (Claude), two-pass agreed",yes,-,"Ionisation, strength and the pH scale",chemistry,inferred_series_footprint
2023-086-31/2/1,31/2/1,2023,37,b,E,"The teacher while conducting practicals in the laboratory divided the students into three groups and gave them various solutions to find out their pH and classify them into acidic, basic and neutral solutions. Group A - Lemon juice, vinegar, colourless aerated drink. Group B - Tomato juice, coffee, ginger juice. Group C - Sodium hydroxide, sodium chloride, lime water. (b) List two ways of determining pH of a solution.",1,Case-study,compulsory,-,"Acids, Bases and Salts",X.SCI,Recalled two laboratory methods for determining pH,no,R&U,"inferred (Claude), two-pass agreed",yes,-,Indicators and laboratory identification of acids and bases,chemistry,inferred_series_footprint
2023-086-31/2/1,31/2/1,2023,37,c-a,E,"The teacher while conducting practicals in the laboratory divided the students into three groups and gave them various solutions to find out their pH and classify them into acidic, basic and neutral solutions. Group A - Lemon juice, vinegar, colourless aerated drink. Group B - Tomato juice, coffee, ginger juice. Group C - Sodium hydroxide, sodium chloride, lime water. (c) Explain, why the sour substances such as lemon juice are effective in cleaning the tarnished copper vessels.",2,Case-study,choice-A,Q37(c),"Acids, Bases and Salts",X.SCI,Explained cleaning of a tarnished metal surface as an acid reacting with a metal oxide,Metals and Non-metals,AEC,"inferred (Claude), two-pass agreed",yes,"Source note: this is NCERT Ch 3 exercise Q13 verbatim. Chapter kept as Acids, Bases and Salts because the reaction tested is acid + metal oxide (2.1.5) and the case-study stem is a pH practical; cross_chapter records the NCERT placement.",Neutralisation and reactions with metallic and non-metallic oxides,chemistry,inferred_series_footprint
2023-086-31/2/1,31/2/1,2023,37,c-b,E,"The teacher while conducting practicals in the laboratory divided the students into three groups and gave them various solutions to find out their pH and classify them into acidic, basic and neutral solutions. Group A - Lemon juice, vinegar, colourless aerated drink. Group B - Tomato juice, coffee, ginger juice. Group C - Sodium hydroxide, sodium chloride, lime water. (c) ""pH has great importance in our daily life."" Justify this statement by giving two examples.",2,Case-study,choice-B,Q37(c),"Acids, Bases and Salts",X.SCI,Justified the everyday significance of pH with recalled examples,no,R&U,"inferred (Claude), two-pass resolved",yes,"TWO-PASS: pass 1 R&U, pass 2 AEC. Resolved to R&U - the justification is delivered entirely by recalled everyday examples with no evaluation step. Closest call on the paper.",Importance of pH in everyday life,chemistry,inferred_series_footprint
2023-086-31/2/1,31/2/1,2023,38,a,E,"All the reproductive methods of living organisms are broadly categorized into two types : 1. Asexual reproduction, and 2. Sexual reproduction. Asexual reproduction involves the participation of a single parent without the formation of gametes, fertilisation and transfer of genetic material. This method is a common means of rapidly increasing offsprings under favourable conditions. (a) Name the type of fission that occurs in Leishmania and Plasmodium.",1,Case-study,compulsory,-,How do Organisms Reproduce?,X.SCI,Recalled the fission type shown by named protozoans,no,R&U,"inferred (Claude), two-pass agreed",yes,-,"Asexual reproduction: fission, fragmentation, regeneration, budding, spore formation",biology,inferred_series_footprint
2023-086-31/2/1,31/2/1,2023,38,b,E,"All the reproductive methods of living organisms are broadly categorized into two types : 1. Asexual reproduction, and 2. Sexual reproduction. Asexual reproduction involves the participation of a single parent without the formation of gametes, fertilisation and transfer of genetic material. This method is a common means of rapidly increasing offsprings under favourable conditions. (b) Write one advantage of sexual mode of reproduction over asexual reproduction.",1,Case-study,compulsory,-,How do Organisms Reproduce?,X.SCI,Stated an advantage of sexual reproduction in terms of variation,no,R&U,"inferred (Claude), two-pass agreed",yes,-,Variation and the significance of sexual reproduction,biology,inferred_series_footprint
2023-086-31/2/1,31/2/1,2023,38,c-a,E,"All the reproductive methods of living organisms are broadly categorized into two types : 1. Asexual reproduction, and 2. Sexual reproduction. Asexual reproduction involves the participation of a single parent without the formation of gametes, fertilisation and transfer of genetic material. This method is a common means of rapidly increasing offsprings under favourable conditions. (c) Give reasons why : (i) Colonies of yeast fail to multiply in water but multiply in sugar solution. (ii) Rhizopus individuals do not grow on a dry slice of bread.",2,Case-study,choice-A,Q38(c),How do Organisms Reproduce?,X.SCI,Reasoned from the conditions required for budding and spore formation to explain two observations,no,AEC,"inferred (Claude), two-pass agreed",yes,-,"Asexual reproduction: fission, fragmentation, regeneration, budding, spore formation",biology,inferred_series_footprint
2023-086-31/2/1,31/2/1,2023,38,c-b,E,"All the reproductive methods of living organisms are broadly categorized into two types : 1. Asexual reproduction, and 2. Sexual reproduction. Asexual reproduction involves the participation of a single parent without the formation of gametes, fertilisation and transfer of genetic material. This method is a common means of rapidly increasing offsprings under favourable conditions. (c) Name the filamentous structures a student could identify when he collected water from a pond that appeared dark green. How do these organisms multiply ? Explain.",2,Case-study,choice-B,Q38(c),How do Organisms Reproduce?,X.SCI,Identified a filamentous alga from a described observation and explained fragmentation,no,Applying,"inferred (Claude), two-pass resolved",yes,"TWO-PASS: pass 1 Applying, pass 2 R&U. Resolved to Applying - the organism must be inferred from a described observation before its mode of multiplication is recalled.","Asexual reproduction: fission, fragmentation, regeneration, budding, spore formation",biology,inferred_series_footprint
